1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	37
37	38
38	39
39	40
40	41
41	42
42	43
43	44
44	45
45	46
46	47
47	48
48	49
49	50
50	51
51	52
52	53
53	54
54	55
55	56
56	57
57	58
58	59
59	60
60	61
61	62
62	63
63	64
64	65
65	66
66	67
67	68
68	69
69	70
70	71
71	72
72	73
73	74
74	75
25	53
24	29
50	37
24	47
37	27
53	72
7	53
50	66
3	29
56	12
70	38
24	1
14	21
1	5
10	58
36	3
57	68
58	52
10	23
37	40
7	5
23	35
50	66
18	66
64	47
53	42
68	63
64	20
14	36
40	24
69	37
45	52
6	73
3	71
3	18
62	45
5	40
1	2
66	73
50	13
65	22
24	55
55	46
54	60
48	35
18	7
67	68
8	39
58	2
10	55
33	2
66	22
35	38
74	18
8	54
54	35
40	25
5	40
20	74
20	58
72	61
71	33
30	49
3	64
43	10
27	41
39	37
61	2
40	6
28	35
22	50
42	13
20	19
16	28
36	27
35	66
57	4
31	58
51	65
51	54
41	29
18	49
20	14
12	4
17	2
8	34
69	20
27	52
63	21
17	21
27	56
16	69
33	8
5	25
40	34
45	25
69	24
75	38
39	57
15	5
28	47
26	35
41	21
74	7
6	47
60	29
59	25
9	73
47	75
50	17
45	52
4	8
16	69
41	20
59	34
63	24
24	14
35	6
20	24
10	19
74	12
70	75
54	43
41	57
13	64
44	10
52	6
55	43
37	49
24	53
3	49
17	61
67	41
21	74
56	26
42	14
51	25
53	66
62	28
7	47
75	13
74	10
55	21
42	20
51	32
47	3
19	52
42	55
65	42
1	37
45	13
55	66
33	60
72	35
17	8
19	63
28	17
11	48
2	56
28	74
62	45
57	42
56	5
8	43
74	42
6	39
42	68
24	6
16	44
12	35
7	3
32	75
48	65
54	18
25	70
19	22
16	71
66	70
73	25
29	51
32	52
64	32
55	41
65	13
41	36
62	2
13	65
57	58
15	31
27	29
62	3
19	60
16	56
27	17
22	15
58	32
65	7
25	65
41	9
15	3
59	34
24	71
17	64
73	27
34	46
35	38
58	22
41	49
34	62
21	28
23	68
50	32
72	64
41	45
75	2
30	58
40	44
68	34
27	19
40	13
52	18
22	68
12	14
54	13
48	55
64	34
51	14
2	12
3	28
14	59
10	66
5	44
46	73
72	11
68	17
54	16
14	1
25	38
34	28
1	38
41	68
75	35
44	39
27	74
9	28
48	43
51	71
15	16
45	13
14	74
68	9
37	9
43	36
22	17
20	68
68	2
36	14
61	64
72	69
57	31
16	52
45	62
20	74
19	31
66	26
29	36
63	9
36	60
43	34
5	10
75	58
60	42
23	4
71	59
63	11
32	17
49	67
29	21
60	14
21	54
29	27
40	71
10	5
4	13
56	58
73	65
14	12
34	43
68	58
38	74
6	17
13	47
30	62
66	47
14	44
70	57
24	68
51	66
8	27
58	41
34	15
54	27
34	23
35	52
46	60
18	4
1	44
33	39
70	24
26	46
37	53
16	38
7	44
9	60
10	52
42	65
56	9
40	75
41	52
8	66
49	13
42	56
17	65
46	72
6	4
47	73
60	72
6	20
15	71
51	31
54	19
3	57
20	53
40	66
56	38
11	67
28	42
73	45
18	36
35	62
69	68
22	64
45	22
6	34
17	54
39	58
21	54
4	38
70	54
30	66
69	3
68	37
41	25
32	28
27	42
1	25
62	63
51	36
21	74
34	63
59	75
53	73
51	64
74	5
43	40
60	3
65	10
7	29
42	21
42	41
6	24
1	9
11	5
75	72
72	14
10	51
49	14
12	9
42	67
17	42
41	45
2	29
56	61
50	39
49	25
57	59
59	25
18	57
27	10
24	50
34	29
24	26
45	67
24	25
20	30
51	41
71	55
59	30
31	63
69	15
72	67
57	56
14	57
21	70
39	20
17	1
25	14
24	75
49	68
4	50
5	71
21	3
21	10
24	35
30	27
8	59
56	27
43	34
65	22
57	28
55	9
28	58
9	35
55	61
60	57
64	13
51	25
60	5
8	19
50	75
5	16
6	38
13	37
53	38
69	59
63	75
58	33
70	49
62	24
74	65
51	71
25	39
35	54
40	28
25	53
63	27
62	18
34	53
33	29
18	29
53	48
66	71
7	56
32	41
16	24
35	22
17	20
50	51
73	43
28	5
38	8
68	7
47	70
25	27
13	47
5	20
68	69
18	30
59	54
11	19
1	33
13	59
72	64
29	60
18	42
38	46
39	26
5	26
24	58
50	49
16	40
73	64
13	71
57	66
59	60
39	55
51	42
11	6
35	32
60	37
21	32
22	11
71	49
3	21
8	73
9	61
59	43
37	8
46	53
17	12
37	27
73	58
33	66
58	10
16	15
73	20
22	32
62	30
14	18
34	48
34	58
10	37
70	23
60	41
48	19
18	4
73	36
71	58
4	49
19	74
67	56
11	4
35	22
22	65
14	67
3	39
53	18
38	3
33	39
27	9
50	4
27	36
62	16
67	43
43	13
8	36
18	10
19	70
68	65
43	4
15	39
19	75
49	16
33	58
24	2
50	64
62	16
32	15
18	60
19	36
21	42
67	3
16	23
57	75
37	13
8	31
56	43
58	22
8	27
4	7
58	64
58	48
8	37
43	69
14	3
3	2
57	33
6	17
73	15
5	46
36	53
14	48
72	3
49	28
60	36
16	1
13	21
54	47
29	3
16	53
73	15
29	15
35	54
12	72
14	41
25	56
66	75
40	64
67	22
56	17
26	9
65	37
60	37
43	50
41	26
68	62
48	51
63	75
69	45
35	67
15	13
29	27
53	11
28	75
18	49
46	57
68	4
16	71
63	15
24	19
51	61
9	21
75	41
55	74
53	27
2	32
24	15
15	71
2	42
18	37
44	31
45	47
74	33
10	62
7	37
74	63
41	59
44	25
9	22
10	55
29	38
2	36
35	2
5	66
37	28
75	17
44	61
69	5
64	70
68	33
13	33
10	4
17	20
42	23
21	56
9	37
72	69
13	47
40	36
1	63
68	35
35	22
38	55
14	51
66	36
48	67
25	28
72	10
57	27
43	31
52	72
8	71
65	24
39	11
36	33
1	73
61	5
21	6
60	26
63	35
22	62
6	21
15	50
32	39
59	35
52	6
65	58
32	42
10	24
55	28
4	32
62	6
40	24
20	61
66	5
42	33
14	15
59	15
70	3
7	65
69	73
17	23
47	60
60	26
24	9
75	38
56	15
55	5
48	66
39	64
43	20
56	66
21	50
45	18
24	21
55	28
53	6
72	13
29	31
61	47
8	55
70	6
68	56
3	29
37	75
28	64
22	11
14	32
54	41
49	31
11	58
31	9
11	36
42	32
6	36
44	65
62	13
4	38
55	22
50	49
29	31
29	26
59	18
69	54
47	58
12	40
45	8
49	51
33	7
61	60
51	4
51	58
70	49
3	1
74	24
48	38
6	52
18	75
45	10
